2020-10-2,Maternel 
2020-10-3,Sagace 
2020-10-4,Extraverti 
2020-10-5,Pédagogue 
2020-10-6,Charismatique 
2020-10-7,Reconnaissant 
2020-10-8,Stable 
2020-10-9,Appliqué 
2020-10-10,Joueur 
2020-10-11,Somptueux 
2020-10-12,Résilient 
2020-10-13,Ambitieux 
2020-10-14,Flexible 
2020-10-15,Propre 
2020-10-16,Apprenti 
2020-10-17,Consacré 
2020-10-18,Salutaire 
2020-10-19,Bien-informé 
2020-10-20,Attentionné 
2020-10-21,Avisé 
2020-10-22,Florissant 
2020-10-23,Relaxant 
2020-10-24,Assidu 
2020-10-25,Compétitif 
2020-10-26,Synergique 
2020-10-27,Posé 
2020-10-28,Décisif 
2020-10-29,Heureux
2020-10-30,Net 
2020-10-31,Courageux
2020-11-1,Mystique 
2020-11-2,Méthodique 
2020-11-3,Attachant 
2020-11-4,Respectueux 
2020-11-5,Gourmand 
2020-11-6,Tranquille 
2020-11-7,Consciencieux 
2020-11-8,Moderne 
2020-11-9,Enchanté 
2020-11-10,Éveillé 
2020-11-11,Énergique 
2020-11-12,Averti 
2020-11-13,Gentil 
2020-11-14,Magique 
2020-11-15,Diligent 
2020-11-16,Tolérant 
2020-11-17,Direct 
2020-11-18,Détendu 
2020-11-19,Accompli 
2020-11-20,Droit 
2020-11-21,Stimulant 
2020-11-22,Légendaire 
2020-11-23,Concret 
2020-11-24,Incitateur 
2020-11-25,Concerné 
2020-11-26,Adorable 
2020-11-27,Réconfortant 
2020-11-28,Attractif 
2020-11-29,Solidaire 
2020-11-30,Ensoleillé
2020-12-1,Prometteur 
2020-12-2,Compréhensif 
2020-12-3,Vertueux 
2020-12-4,Ravissant 
2020-12-5,Motivant 
2020-12-6,Décent 
2020-12-7,Approfondi 
2020-12-8,Engageant 
2020-12-9,Réaliste 
2020-12-10,Bienheureux 
2020-12-11,Convivial 
2020-12-12,Sérieux 
2020-12-13,Distingué 
2020-12-14,Satisfait 
2020-12-15,Rafraîchissant 
2020-12-16,Modeste 
2020-12-17,Cordial
2020-12-18,Noble 
2020-12-19,Logique 
2020-12-20,Chaleureux 
2020-12-21,Léger 
2020-12-22,Favorable 
2020-12-23,Constructif 
2020-12-24,Gai 
2020-12-25,Généreux-
2020-12-26,Festif 
2020-12-27,Traditionnel 
2020-12-28,Mélodieux 
2020-12-29,Loquace 
2020-12-30,D-strayant 
2020-12-31,Affable-
